##ËµÃ÷ÐÐ, »ú±©00, °×Ïó01, ½ð·É02, ºì¹·03, À¶Áú04, ÂÌ¼×05, ºìÍÜ06, ºìÐÉ07, À¶±©08, ºì±©09, Ë®Óã10, Ë®À×11, Ææ±¦12, »Ò¼¦13, ºÚ¼¦14, Ä·ÒÁ15, º£Âí16, °×»¢17, ºÚöè18, ºÚ»¢19, °×ÀÇ20, À¶ÀÇ21, HF°×22, ×å³¤23, ºÚ±©24, Òø±©25, ½ð±©26, ÂÌ±©27, ºÚ»¢28, °ß»¢29, ³È·É30, ºì·É31, É«±©32, Æï³è33, Æï³è34, Æï³è35, Æï³è36, Æï³è37, Æï³è38, Æï³è39, Æï³è40, Æï³è41, Æï³è42, Æï³è43, Æï³è44, Æï³è45, Æï³è46, Æï³è47, Æï³è48, Æï³è49, Æï³è50, Æï³è51, Æï³è52, Æï³è53, Æï³è54, Æï³è55, Æï³è56, Æï³è57, Æï³è58, Æï³è59, Æï³è60, Æï³è61, Æï³è62, Æï³è63
Æï    ³è, 100374, 100358, 100362, 100279, 100288, 100283, 100346, 100310, 100372, 100373, 101532, 101576, 100370, 100369, 100904, 100348, 110012, 100872, 110050, 110055, 110016, 110017, 110032, 110045, 120071, 120072, 100907, 120070, 120073, 120074, 100359, 100360, 120079,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
¶¹    ¶¡, 101305, 101306, 101307, 101308, 101309, 101310, 101311, 101312, 101008, 101009, 101978, 101989, 100425, 100420, 100445, 108005, 108024, 102003, 108027, 108063, 108022, 108029, 108011, 108021, 120000, 120012, 120024, 120036, 121001, 121021, 122001, 122013, 120081,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
Èü ÑÇ ÈË, 101313, 101314, 101315, 101316, 101317, 101318, 101319, 101320, 101018, 101019, 101986, 101988, 100425, 100420, 100445, 108005, 108024, 102003, 108027, 108063, 108022, 108029, 108011, 108021, 120001, 120013, 120025, 120037, 121002, 121022, 122002, 122014, 120082,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
±è×ÓÄÐº¢, 101321, 101322, 101323, 101324, 101325, 101326, 101327, 101328, 101028, 101029, 101975, 101965, 100425, 100420, 100445, 108005, 108024, 102003, 108027, 108063, 108022, 108029, 108011, 108021, 120002, 120014, 120026, 120038, 121003, 121023, 122003, 122015, 120083,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
¿á    ¸ç, 101329, 101330, 101331, 101332, 101333, 101334, 101335, 101336, 101038, 101039, 101976, 101966, 100425, 100420, 100445, 108005, 108024, 102003, 108027, 108063, 108022, 108029, 108011, 108021, 120003, 120015, 120027, 120039, 121004, 121024, 122004, 122016, 120084,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
ÐÜ Æ¤ ÄÐ, 101337, 101338, 101339, 101340, 101341, 101342, 101343, 101344, 101048, 101049, 101984, 101973, 100425, 100420, 100445, 108005, 108024, 102003, 108027, 108063, 108022, 108029, 108011, 108021, 120004, 120016, 120028, 120040, 121005, 121025, 122005, 122017, 120085,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
´ó    ¸ö, 101345, 101346, 101347, 101348, 101349, 101350, 101351, 101352, 101058, 101059, 101985, 101974, 100425, 100420, 100445, 108005, 108024, 102003, 108027, 108063, 108022, 108029, 108011, 108021, 120005, 120017, 120029, 120041, 121006, 121026, 122006, 122018, 120086,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
¶¹ ¶¡ ÃÃ, 101353, 101354, 101355, 101356, 101357, 101358, 101359, 101360, 101068, 101069, 101977, 101967, 100425, 100420, 100445, 108001, 108025, 102004, 108026, 108062, 108022, 108029, 108010, 108021, 120006, 120018, 120030, 120042, 121007, 121027, 122007, 122019, 120087,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
ÐÜ Æ¤ ÃÃ, 101361, 101362, 101363, 101364, 101365, 101366, 101367, 101368, 101078, 101079, 101979, 101968, 100425, 100420, 100445, 108001, 108025, 102004, 108026, 108062, 108022, 108029, 108010, 108021, 120007, 120019, 120031, 120043, 121008, 121028, 122008, 122020, 120088,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
Ã± ×Ó ÃÃ, 101369, 101370, 101371, 101372, 101373, 101374, 101375, 101376, 101088, 101089, 101981, 101970, 100425, 100420, 100445, 108001, 108025, 102004, 108026, 108062, 108022, 108029, 108010, 108021, 120008, 120020, 120032, 120044, 121009, 121026, 122009, 122021, 120089,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
¶Ì·¢¼ÐÃÃ, 101377, 101378, 101379, 101380, 101381, 101382, 101383, 101384, 101098, 101099, 101980, 101969, 100425, 100420, 100445, 108001, 108025, 102004, 108026, 108062, 108022, 108029, 108010, 108021, 120009, 120021, 120033, 120045, 121010, 121030, 122010, 122022, 120090,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
ÊÖ Ì× Å®, 101385, 101386, 101387, 101388, 101389, 101390, 101391, 101392, 101108, 101109, 101983, 101972, 100425, 100420, 100445, 108001, 108025, 102004, 108026, 108062, 108022, 108029, 108010, 108021, 120010, 120022, 120034, 120046, 121011, 121031, 122011, 122023, 120091,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
À±    ÃÃ, 101393, 101394, 101395, 101396, 101397, 101398, 101399, 101400, 101118, 101119, 101982, 101971, 100425, 100420, 100445, 108001, 108025, 102004, 108026, 108062, 108022, 108029, 108010, 108021, 120011, 120023, 120035, 120047, 121012, 121032, 122012, 122024, 120092,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1,     -1
